"  DateTime","Temp.[C]"
"2021/4/30 11:08:01","+31.9531"
"2021/4/30 11:08:21","+31.9531"
"2021/4/30 11:08:41","+32.0155"
"2021/4/30 11:09:01","+32.0779"
"2021/4/30 11:09:21","+32.0779"
"2021/4/30 11:09:41","+32.0779"
"2021/4/30 11:10:01","+32.0779"
"2021/4/30 11:10:21","+32.0779"
"2021/4/30 11:10:41","+32.0779"
"2021/4/30 11:11:01","+32.0779"
"2021/4/30 11:11:21","+32.1403"
"2021/4/30 11:11:41","+32.1403"
"2021/4/30 11:12:01","+32.1403"
"2021/4/30 11:12:21","+32.2028"
"2021/4/30 11:12:41","+32.2028"
"2021/4/30 11:13:01","+32.2028"
"2021/4/30 11:13:21","+32.2652"
"2021/4/30 11:13:41","+32.2652"
"2021/4/30 11:14:01","+32.2652"
"2021/4/30 11:14:21","+32.3276"
"2021/4/30 11:14:41","+32.2652"
"2021/4/30 11:15:01","+31.6410"
"2021/4/30 11:15:21","+31.1416"
"2021/4/30 11:15:41","+30.5797"
"2021/4/30 11:16:01","+30.2675"
"2021/4/30 11:16:21","+30.0802"
"2021/4/30 11:16:41","+29.8304"
"2021/4/30 11:17:01","+29.6430"
"2021/4/30 11:17:21","+29.3932"
"2021/4/30 11:17:41","+29.2059"
"2021/4/30 11:18:01","+28.7062"
"2021/4/30 11:18:21","+28.3314"
"2021/4/30 11:18:41","+27.9566"
"2021/4/30 11:19:01","+27.5817"
"2021/4/30 11:19:21","+27.2693"
"2021/4/30 11:19:41","+26.9569"
"2021/4/30 11:20:01","+26.7070"
"2021/4/30 11:20:21","+26.4570"
"2021/4/30 11:20:41","+26.2695"
"2021/4/30 11:21:01","+26.0820"
"2021/4/30 11:21:21","+25.8320"
"2021/4/30 11:21:41","+25.6445"
"2021/4/30 11:22:01","+25.5195"
"2021/4/30 11:22:21","+25.3320"
"2021/4/30 11:22:41","+25.2070"
"2021/4/30 11:23:01","+25.0820"
"2021/4/30 11:23:21","+24.9569"
"2021/4/30 11:23:41","+24.8319"
"2021/4/30 11:24:01","+24.7694"
"2021/4/30 11:24:21","+24.6444"
"2021/4/30 11:24:41","+24.5818"
"2021/4/30 11:25:01","+24.5193"
"2021/4/30 11:25:21","+24.3943"
"2021/4/30 11:25:41","+24.3318"
"2021/4/30 11:26:01","+24.2692"
"2021/4/30 11:26:21","+24.2692"
